N,LB,TH,K,weight_mode,vol_target,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,exposure_pct,total_trades,final_nav
50,14,0.65,1,Hysteresis_Rank,True,124.79,36.94,-82.06,0.78,0.45,26.6,95,22479.21
20,14,0.65,5,Inverse_Vol,True,89.87,28.26,-59.76,0.76,0.47,28.2,233,18986.88
50,30,0.65,5,Hysteresis_Rank,False,95.37,29.69,-45.22,0.75,0.66,24.2,102,19536.9
20,14,0.65,1,Equal_Weight,False,115.01,34.6,-53.01,0.75,0.65,28.2,123,21500.6
20,14,0.65,1,Inverse_Vol,False,115.01,34.6,-53.01,0.75,0.65,28.2,123,21500.6
20,14,0.5,5,Inverse_Vol,True,90.5,28.42,-54.78,0.75,0.52,31.8,267,19049.93
30,30,0.65,3,Hysteresis_Rank,False,99.91,30.85,-45.49,0.74,0.68,26.5,80,19990.88
20,14,0.5,1,Equal_Weight,False,109.11,33.15,-54.39,0.74,0.61,31.8,147,20911.22
20,14,0.5,1,Inverse_Vol,False,109.11,33.15,-54.39,0.74,0.61,31.8,147,20911.22
50,30,0.5,3,Hysteresis_Rank,True,108.93,33.11,-56.46,0.74,0.59,30.7,110,20893.19
20,14,0.5,1,Equal_Weight,True,108.91,33.1,-58.48,0.74,0.57,31.8,147,20890.54
20,14,0.5,1,Inverse_Vol,True,108.91,33.1,-58.48,0.74,0.57,31.8,147,20890.54
20,14,0.65,1,Equal_Weight,True,109.06,33.14,-59.97,0.74,0.55,28.2,123,20905.66
20,14,0.65,1,Inverse_Vol,True,109.06,33.14,-59.97,0.74,0.55,28.2,123,20905.66
50,30,0.4,3,Hysteresis_Rank,False,108.48,33.0,-61.3,0.74,0.54,34.5,121,20847.61
30,30,0.65,3,Equal_Weight,False,97.97,30.35,-54.14,0.73,0.56,26.5,133,19796.58
50,30,0.4,5,Hysteresis_Rank,False,96.9,30.08,-55.95,0.73,0.54,34.5,143,19689.84
50,14,0.5,1,Hysteresis_Rank,True,95.09,29.62,-84.15,0.73,0.35,30.1,105,19509.4
20,14,0.4,3,Hysteresis_Rank,False,93.46,29.19,-52.07,0.72,0.56,35.5,176,19346.35
20,30,0.65,5,Inverse_Vol,False,80.98,25.89,-40.88,0.71,0.63,28.9,203,18097.66
20,14,0.5,5,Equal_Weight,False,81.57,26.05,-49.87,0.71,0.52,31.8,267,18156.9
20,14,0.5,5,Hysteresis_Rank,False,79.63,25.53,-48.72,0.71,0.52,31.8,177,17963.25
50,30,0.5,3,Equal_Weight,True,98.39,30.46,-64.26,0.71,0.47,30.7,179,19838.94
50,30,0.4,5,Equal_Weight,True,90.65,28.46,-62.37,0.71,0.46,34.5,223,19064.51
50,14,0.4,1,Hysteresis_Rank,False,84.35,26.8,-81.11,0.71,0.33,32.6,119,18435.33
20,14,0.65,5,Hysteresis_Rank,False,74.47,24.12,-53.69,0.7,0.45,28.2,156,17447.14
20,14,0.65,3,Hysteresis_Rank,True,81.93,26.15,-63.14,0.7,0.41,28.2,131,18192.68
20,30,0.4,1,Hysteresis_Rank,True,84.0,26.7,-73.93,0.7,0.36,40.8,90,18400.32
30,30,0.65,5,Hysteresis_Rank,False,79.3,25.44,-44.91,0.69,0.57,26.5,104,17929.53
30,30,0.65,3,Hysteresis_Rank,True,86.49,27.37,-51.01,0.69,0.54,26.5,80,18649.35
20,14,0.4,3,Hysteresis_Rank,True,83.47,26.56,-50.07,0.69,0.53,35.5,176,18346.8
30,30,0.65,5,Equal_Weight,True,82.72,26.36,-51.18,0.69,0.52,26.5,173,18271.86
20,14,0.65,5,Equal_Weight,False,72.58,23.59,-56.05,0.68,0.42,28.2,233,17257.87
20,14,0.5,3,Inverse_Vol,True,75.56,24.42,-55.94,0.67,0.44,31.8,228,17556.44
30,30,0.5,5,Inverse_Vol,False,76.33,24.63,-55.89,0.67,0.44,32.9,227,17632.86
30,30,0.65,3,Equal_Weight,True,80.78,25.84,-59.66,0.67,0.43,26.5,133,18078.17
20,30,0.4,1,Equal_Weight,False,66.72,21.95,-67.89,0.66,0.32,40.8,120,16672.36
20,30,0.4,1,Inverse_Vol,False,66.72,21.95,-67.89,0.66,0.32,40.8,120,16672.36
20,14,0.5,3,Equal_Weight,False,70.6,23.04,-52.62,0.65,0.44,31.8,228,17060.11
50,30,0.65,1,Equal_Weight,False,68.31,22.4,-73.66,0.65,0.3,24.2,90,16830.93
50,30,0.65,1,Inverse_Vol,False,68.31,22.4,-73.66,0.65,0.3,24.2,90,16830.93
20,14,0.65,3,Equal_Weight,False,68.07,22.33,-59.42,0.64,0.38,28.2,195,16807.17
20,14,0.65,3,Inverse_Vol,True,66.88,21.99,-64.04,0.64,0.34,28.2,195,16687.73
50,30,0.4,3,Equal_Weight,True,70.51,23.01,-67.16,0.64,0.34,34.5,204,17050.91
30,30,0.65,5,Hysteresis_Rank,True,66.05,21.75,-50.16,0.63,0.43,26.5,104,16605.04
50,30,0.5,5,Hysteresis_Rank,False,66.03,21.75,-56.32,0.62,0.39,30.7,134,16603.22
